RecID,IdTruth
A101972,24231
A106778,24231
A104577,24231
A102139,24232
A103530,24232
A105569,24232
A103843,24233
A100721,24233
A105667,24233
A102117,24233
A103032,24233
A106537,24234
A101229,24234
A104970,24234
A107209,24234
A101325,24235
A104224,24235
A100029,24235
A104787,24235
A102049,24236
A101146,24236
A104077,24236
A104507,24236
A106263,24237
A101613,24237
A103768,24237
A106984,32423
A100413,32423
A103979,32423
A104337,32424
A102651,32424
A101764,32424
A103244,32424
A101198,32424
A103382,32424
A103191,32425
A104988,32425
A103952,32425
A105410,32426
A100326,32426
A103775,32426
A100319,32427
A101207,32427
A107243,32427
A106465,32428
A107257,32428
A103572,32428
A100850,32428
A104151,32429
A104384,32429
A103463,32429
A100900,32429
A103222,32430
A100426,32430
A105517,32430
A102926,4957
A102736,4957
A105727,4957
A105507,4957
A104214,4958
A100862,4958
A104382,4958
A103621,4958
A106754,4958
A106859,4958
A102508,4959
A102348,4959
A105529,4959
A102846,4959
A101932,4960
A101425,4960
A102859,4960
A101614,4960
A102214,4960
A100690,4960
A101945,4961
A104188,4961
A103644,4961
A105004,4961
A104737,4961
A103405,4962
A102929,4962
A104926,4962
A103258,4963
A107143,4963
A101707,4963
A105850,4963
A106990,41236
A105717,41236
A103089,41236
A103962,41236
A104767,41236
A101563,41236
A104098,41237
A104083,41237
A103081,41237
A102676,41237
A103190,41237
A106555,41238
A100540,41238
A103524,41238
A103095,41238
A102553,41238
A103155,41239
A100474,41239
A107183,41239
A101415,41239
A107169,41240
A102850,41240
A100639,41240
A105260,41240
A103804,41241
A106678,41241
A103833,41241
A106176,41241
A105997,41241
A105554,41242
A103976,41242
A101752,41242
A101916,41243
A102254,41243
A107184,41243
A100345,41244
A104532,41244
A104949,41244
A103090,41244
A104202,41244
A100532,41244
A103630,41245
A100036,41245
A106837,41245
A100184,41246
A101318,41246
A105415,41246
A106119,41246
A102015,41246
A107179,17593
A101699,17593
A107004,17593
A101119,17593
A101731,17593
A101557,17594
A101908,17594
A103468,17594
A106834,17594
A104849,17594
A103481,17595
A100400,17595
A105664,17595
A101632,17596
A103586,17596
A100658,17596
A100700,17596
A106040,17596
A103166,17596
A104142,17597
A101243,17597
A101899,17597
A106037,17598
A100178,17598
A105688,17598
A106190,17598
A102706,17598
A103227,17598
A105467,17599
A107075,17599
A101113,17599
A101095,17600
A101942,17600
A100587,17600
A106790,17600
A102932,17600
A102888,17601
A100825,17601
A106503,17601
A103330,17601
A103073,17601
A101809,17602
A106687,17602
A100782,17602
A102391,17602
A100812,19349
A101449,19349
A105267,19349
A105578,19350
A104880,19350
A104713,19350
A105978,19351
A103507,19351
A105206,19351
A106182,19351
A104178,19352
A102588,19352
A102598,19352
A103669,19352
A100191,19352
A105568,19353
A101900,19353
A102467,19353
A104316,19354
A102905,19354
A102871,19354
A102425,19354
A106373,19355
