RefID, ClusterID
A904697, A904697
A904735, A904735
A904739, A904739
A904758, A904758
A904811, A904811
A904838, A904838
A904861, A904861
A904877, A904877
A904913, A904913
A905010, A905010
A905041, A905041
A905153, A905153
A905307, A905307
A905320, A905010
A905465, A905465
A905488, A905488
A905547, A905547
A905562, A905562
A905577, A905577
A905600, A905600
A905663, A905663
A905693, A905693
A905748, A905748
A905773, A905773
A905796, A905796
A905817, A905817
A905823, A905823
A905844, A905844
A905951, A905951
A905966, A905966
A905978, A905978
A905986, A905986
A906014, A906014
A906079, A906079
A906150, A905817
A906172, A906172
A906178, A906178
A906194, A906194
A906197, A906197
A906202, A906202
A906213, A906213
A906267, A906267
A906293, A905488
A906321, A906321
A906338, A906338
A906347, A906347
A906362, A906362
A906433, A906433
A906565, A906565
A906578, A906578
A906634, A906634
A906733, A906733
A906816, A906816
A906820, A906820
A906829, A906829
A906845, A906845
A906864, A906864
A906879, A906879
A906900, A906900
A906926, A906926
A906940, A906940
A906942, A906942
A907042, A907042
A907131, A907131
A907164, A907164
A907235, A907235
A907237, A906172
A907249, A907249
A907263, A907263
A907284, A907284
A907296, A907296
A907336, A907336
A907355, A906926
A907384, A907384
A907424, A907424
A907499, A907499
A907505, A907505
A907561, A907561
A907641, A907641
A907656, A907656
A907671, A907671
A907771, A907771
A907782, A907782
A907840, A907840
A907898, A907263
A908026, A908026
A908041, A908041
A908180, A908180
A908205, A908205
A908231, A908231
A908266, A908266
A908280, A908280
A908334, A908334
A908374, A904838
A908396, A908396
A908425, A908425
A908429, A908429
A908482, A908482
A908528, A908528
A908576, A908576
A908627, A908627
A908642, A908642
A908643, A908266
A908653, A908653
A908662, A908662
A908670, A908670
A908704, A908704
A908732, A908732
A908757, A908757
A908818, A908818
A908835, A908835
A908884, A908884
A909014, A909014
A909028, A909028
A909129, A909129
A909151, A909151
A909165, A909165
A909177, A909177
A909194, A909194
A909199, A909199
A909202, A909202
A909242, A909242
A909295, A906578
A909296, A909296
A909316, A909316
A909342, A909342
A909370, A909370
A909466, A909466
A909471, A909471
A909608, A909608
A909629, A909629
A909635, A908429
A909663, A909663
A909666, A909666
A909680, A909680
A909692, A909692
A909768, A909768
A909854, A909854
A909864, A909864
A909873, A909873
A909896, A909629
A909904, A909904
A909924, A909924
A909927, A909927
A909989, A909989
A909994, A909994
A910004, A910004
A910008, A910008
A910025, A910025
A910059, A910059
A910060, A910060
A910126, A910126
A910195, A910195
A910229, A910229
A910240, A910240
A910260, A910260
A910303, A910303
A910354, A910354
A910414, A910414
A910463, A910463
A910561, A910561
A910577, A910577
A910604, A910604
A910692, A910692
A910716, A910716
A910769, A910769
A910815, A909028
A910852, A910852
A910921, A908026
A910936, A907131
A910960, A910960
A910964, A910964
A911006, A911006
A911037, A911037
A911113, A911113
A911120, A911120
A911153, A911153
A911166, A911166
A911180, A911180
A911202, A911202
A911262, A911262
A911271, A905488
A911306, A911306
A911354, A906202
A911367, A911367
A911368, A911368
A911385, A911385
A911420, A911420
A911473, A911473
A911498, A908334
A911504, A911504
A911526, A910126
A911537, A911537
A911548, A911548
A911612, A906816
A911645, A911645
A911648, A909242
A911662, A911662
A911688, A911688
A911730, A911730
A911757, A911757
A911772, A911772
A911817, A911817
A911844, A911844
A911943, A911943
A911959, A911959
A911968, A911968
A911973, A911973
A911988, A911988
A911998, A910852
A912134, A912134
A912144, A906900
A912151, A912151
A912159, A912159
A912161, A912161
A912186, A912186
A912203, A912203
A912235, A912235
A912279, A912279
A912344, A906900
A912356, A912356
A912438, A912438
A912451, A912451
A912470, A912470
A912507, A912507
A912529, A912529
A912539, A906926
A912561, A912561
A912593, A912593
A912624, A912624
A912670, A912670
A912703, A907249
A912741, A912741
A912789, A912789
A912796, A912796
A912864, A912864
A912885, A908642
A912900, A905547
A912919, A912919
A912953, A912953
A913011, A913011
A913033, A913033
A913076, A913076
A913118, A913118
A913178, A913178
A913293, A906321
A913315, A904739
A913342, A913342
A913345, A909014
A913353, A913353
A913358, A913358
A913398, A913398
A913427, A912451
A913465, A913465
A913466, A913466
A913537, A913537
A913556, A904861
A913583, A913583
A913592, A913592
A913604, A913604
A913637, A913637
A913670, A913670
A913715, A913715
A913833, A913833
A913847, A913847
A913911, A913911
A913926, A913926
A913935, A913935
A913963, A913963
A914010, A913715
A914011, A914011
A914024, A914024
A914063, A914063
A914090, A910463
A914097, A914011
A914104, A914104
A914169, A914169
A914246, A914246
A914275, A914275
A914297, A914297
A914307, A914307
A914361, A914361
A914374, A914374
A914381, A914381
A914414, A912235
A914448, A914448
A914474, A911367
A914483, A914483
A914499, A914499
A914525, A914525
A914579, A914579
A914585, A914585
A914597, A914597
A914623, A906634
A914707, A914707
A914725, A914725
A914739, A914739
A914777, A909471
A914784, A904861
A914811, A914811
A914838, A905817
A914865, A914865
A914909, A914909
A914922, A914922
A915017, A915017
A915036, A915036
A915095, A915095
A915148, A912438
A915157, A915157
A915178, A911662
A915199, A913466
A915213, A915213
A915296, A915296
A915340, A915340
A915341, A915341
A915357, A905577
A915363, A915363
A915367, A910126
A915416, A907782
A915428, A915428
A915456, A915456
A915475, A904838
A915491, A915491
A915531, A915531
A915560, A912186
A915586, A915586
A915614, A915340
A915699, A915699
A915730, A915730
A915732, A915732
A915742, A915742
A915752, A915752
A915795, A915795
A915843, A905562
A915852, A915852
A915994, A915994
A916010, A916010
A916017, A916017
A916018, A911385
A916045, A916045
A916063, A916063
A916073, A915340
A916155, A916155
A916162, A907249
A916219, A916219
A916321, A916321
A916329, A916329
A916368, A907771
A916387, A916387
A916414, A916414
A916431, A909854
A916466, A916466
A916488, A910463
A916501, A916501
A916510, A916510
A916545, A916545
A916612, A909666
A916639, A916639
A916642, A911943
A916773, A909202
A916775, A916775
A916845, A914374
A916914, A909296
A916924, A912796
A916934, A916934
A916975, A916975
A917007, A910126
A917011, A917011
A917033, A917033
A917114, A917114
A917115, A917115
A917124, A909924
A917141, A917141
A917167, A911202
A917174, A917174
A917190, A909014
A917192, A917192
A917198, A917198
A917219, A917198
A917230, A917230
A917253, A912470
A917287, A917287
A917293, A917293
A917299, A917299
A917330, A909471
A917458, A908482
A917529, A917529
A917534, A917534
A917573, A917573
A917609, A917609
A917631, A914725
A917666, A910060
A917685, A909316
A917739, A917739
A917759, A917759
A917767, A917767
A917769, A917769
A917797, A908205
A917801, A917801
A917812, A917739
A917828, A917828
A917847, A912438
A917874, A917874
A917888, A909242
A917968, A917968
A918059, A918059
A918089, A918089
A918103, A911504
A918120, A918120
A918124, A918124
A918175, A918175
A918181, A918181
A918228, A908396
A918290, A908642
A918292, A918292
A918429, A918429
A918431, A918431
A918602, A912356
A918618, A918618
A918628, A918628
A918633, A918633
A918638, A914909
A918676, A918676
A918678, A906864
A918780, A918780
A918828, A918828
A918853, A912451
A918873, A918873
A918922, A918922
A918993, A917033
A919041, A919041
A919055, A919055
A919073, A905748
A919080, A919080
A919096, A913592
A919180, A919180
A919267, A919267
A919343, A919343
A919425, A919425
A919447, A919447
A919459, A907235
A919472, A919472
A919491, A919491
A919569, A919569
A919591, A919591
A919603, A909242
A919619, A911367
A919665, A919665
A919679, A919679
A919680, A919680
A919704, A916387
A919728, A905796
A919755, A919755
A919782, A919782
A919864, A906433
A919898, A919898
A919913, A919913
A919995, A915852
A920094, A920094
A920139, A920139
A920175, A920175
A920190, A920190
A920205, A917033
A920209, A909471
A920211, A920211
A920262, A920262
A920309, A920309
A920336, A911180
A920384, A920384
A920410, A920410
A920423, A913353
A920447, A920447
A920464, A905010
A920496, A920496
A920507, A920447
A920520, A910008
A920525, A920525
A920536, A920536
A920725, A920725
A920810, A920810
A920864, A920864
A920900, A911645
A920907, A920907
A920955, A920955
A920989, A920989
A921017, A921017
A921027, A921027
A921090, A921090
A921163, A921163
A921222, A913637
A921226, A921226
A921250, A921250
A921287, A921287
A921322, A912356
A921338, A921338
A921405, A907164
A921406, A920955
A921472, A913847
A921541, A921541
A921566, A921566
A921589, A912470
A921633, A917529
A921673, A921673
A921690, A921690
A921739, A921739
A921740, A921740
A921763, A913178
A921809, A921809
A922045, A922045
A922114, A911548
A922167, A922167
A922175, A922175
A922176, A922176
A922189, A906864
A922190, A906845
A922275, A922275
A922294, A922294
A922314, A922314
A922324, A912186
A922353, A922353
A922375, A914909
A922383, A922383
A922388, A922388
A922409, A906940
A922416, A922416
A922442, A922442
A922459, A922459
A922558, A922558
A922562, A922562
A922614, A922614
A922632, A907042
A922639, A922639
A922655, A909202
A922743, A909854
A922747, A922747
A922752, A922562
A922766, A922766
A922769, A922769
A922804, A922804
A922841, A922841
A922863, A922863
A922880, A922880
A922943, A922943
A922996, A912159
A923013, A923013
A923018, A923018
A923069, A923069
A923076, A923076
A923107, A923107
A923169, A909342
A923293, A910960
A923305, A923305
A923369, A923369
A923472, A923472
A923492, A923492
A923496, A917198
A923538, A905600
A923557, A923557
A923657, A923657
A923664, A923664
A923673, A923673
A923721, A923721
A923732, A923732
A923733, A923733
A923752, A917293
A923776, A923776
A923808, A923808
A923809, A908528
A923837, A923837
A923846, A923846
A923866, A923866
A923894, A923894
