token,frequency
CA,2011
FL,1361
TX,909
ST,810
DR,802
M,705
BOX,668
A,656
AVE,577
S,463
APT,439
E,422
D,407
PO,406
L,393
SAN,381
RD,367
TEXAS,359
J,357
R,336
W,327
LN,312
CALI,293
FLA,290
CALIF,285
C,278
CT,261
CALIFORNIA,251
BEACH,250
POST,241
FLORIDA,233
G,229
N,206
WAY,206
LOS,205
AR,199
K,186
H,177
P,166
OFFICE,164
B,161
F,161
ANGELES,160
T,160
LAKE,135
PARK,135
CITY,123
CIR,119
JOSE,114
SW,113
HOUSTON,111
FORT,110
PL,110
ROAD,106
MIAMI,105
JACKSONVILLE,104
BLVD,103
DRV,101
NW,98
EL,94
PALM,94
SACRAMENTO,94
SPRINGS,92
PORT,91
DIEGO,89
ORLANDO,89
ANTONIO,86
NORTH,86
DRIV,84
HILLS,82
VALLEY,82
DRIVE,80
SANTA,77
STRT,76
STR,75
WEST,74
ROCK,72
HILL,71
V,71
NE,70
STREET,70
CALLER,68
MARIA,67
LITTLE,66
SPRING,66
VISTA,66
GROVE,65
APARTMENT,64
PASO,64
TAMPA,63
WORTH,60
OAKLAND,59
APTDO,58
LANE,58
FRANCISCO,57
BAY,55
DALLAS,55
CORAL,54
COURT,54
MARY,54
DEL,52
JUAN,52
LA,52
LONG,52
MYERS,52
O,52
RIVERSIDE,52
TER,52
CALL,50
RANCHO,50
GONZALEZ,49
JOHN,49
SAINT,49
BUZON,48
RIDGE,48
LOPEZ,46
ARK,45
AV,45
AVENIDA,45
KELLER,45
FRESNO,44
OAK,44
BAKERSFIELD,41
DAVID,41
SALINAS,41
GARY,40
MARTIN,39
90009,38
ANTHONY,38
AVENUE,38
CREEK,38
I,37
JASON,37
APARTADO,36
CYNTHIA,36
FONTANA,36
SOUTH,36
881605,35
ESTHER,35
JORGE,35
JOSEPH,35
SMITH,35
STOCKTON,35
76248,34
CR,34
VIEW,34
WY,34
1ST,33
AVENU,33
BARBARA,33
HAWTHORNE,33
LE,33
MICHAEL,33
PLANO,33
WHITE,33
AVNUE,32
CAPE,32
KISSIMMEE,32
KELLEY,31
AVN,30
BRIAN,30
DAVIS,30
FAKHOUR,30
HAYES,30
LAUDERDALE,30
RODRIGUEZ,30
TRL,30
Z,30
32247,29
CORONA,29
ELK,29
GARLAND,29
GRAND,29
NAPLES,29
PELAYO,29
PETERSBURG,29
PRAIRIE,29
RICARDO,29
SE,29
TERESA,29
THOMAS,29
WALTON,29
1,28
5314,28
AMEREAN,28
CANYON,28
GARCIA,28
JACKSON,28
LEE,28
ROBERT,28
SANDRA,28
ANA,27
CHAVEZ,27
CRUZ,27
GARDENS,27
HOLLYWOOD,27
JOHNSON,27
ORANGE,27
TORRES,27
7TH,26
ALAN,26
AVEN,26
CHINO,26
CLUB,26
CRAIG,26
HIGHWAY,26
LARGO,26
MOONEY,26
PAUL,26
RIO,26
SCOTT,26
THOMPSON,26
1001,25
3,25
ALLAN,25
DE,25
DONALD,25
MARTINEZ,25
MILTON,25
POMPANO,25
RODNEY,25
SANCHEZ,25
SONIA,25
TOMMY,25
UNIT,25
WALKER,25
WILLIAM,25
Y,25
14,24
GREGORY,24
HOPE,24
JANICE,24
JIMENEZ,24
LAND,24
MENDEZ,24
PLACE,24
RICHARD,24
ROBERTO,24
STEWART,24
VIA,24
WARD,24
AUSTIN,23
BELL,23
CHULA,23
CIRCLE,23
DEBORAH,23
EAGLE,23
ELIZABETH,23
FORD,23
GEORGE,23
GURVINDER,23
LUCIE,23
MESA,23
PEDRO,23
PEMBROKE,23
PERRIS,23
TAYLOR,23
VALENCIA,23
VENICE,23
1501,22
20,22
ANAHEIM,22
ANGELA,22
ARKANSAS,22
BATTLES,22
BONITA,22
EAST,22
GLEN,22
GRISEL,22
LANCASTER,22
LOT,22
MICHELLE,22
MULBERRY,22
PINES,22
TERRACE,22
2301,21
280034,21
77228,21
94603,21
ADLER,21
CARLOS,21
CHRISTI,21
COUNTRY,21
FRED,21
GREEN,21
HIALEAH,21
JENNIFER,21
JR,21
LEWIS,21
LINDA,21
MORGAN,21
VINCI,21
106,20
4TH,20
6TH,20
76210,20
ARKAN,20
BELLFLOWER,20
BROWN,20
CARMEN,20
CLEARWATER,20
CUCAMONGA,20
DAVY,20
ELSINORE,20
FLORES,20
GATE,20
HOLLAND,20
HOT,20
JAMES,20
MIGUEL,20
OAKS,20
WILDOMAR,20
WINTER,20
133,19
21,19
33467,19
511,19
90250,19
92145,19
92507,19
92595,19
ARIZA,19
BOCA,19
CALIENES,19
CENTER,19
CORNELISSEN,19
CORPUS,19
ELM,19
FRANKLIN,19
FREEMAN,19
JANA,19
KYLE,19
LAKES,19
MADARANG,19
MEADOWS,19
MELISSA,19
MITCHELL,19
OLGICA,19
PALMDALE,19
POINT,19
ROBINSON,19
ROSA,19
SAENZ,19
SUNLAND,19
WEAVER,19
121,18
1909,18
32958,18
33063,18
36526,18
5,18
92584,18
93905,18
ALAMEDA,18
ANGEL,18
BRADLEY,18
BRENDA,18
CHRISTINE,18
CHRISTOPHER,18
DEER,18
DWAIN,18
GERARD,18
GLYNIS,18
ISABEL,18
LAKELAND,18
LIBERTAD,18
MARGATE,18
MORENO,18
PABLO,18
SINCLAIR,18
SKELTON,18
SORIANO,18
TORRANCE,18
TREE,18
VENTURA,18
2ND,17
33860,17
430115,17
45236,17
76972,17
90706,17
91040,17
BAILEY,17
BRANDON,17
BRUCE,17
BULBUL,17
CARLA,17
CENTRAL,17
COLONY,17
ESCONDIDO,17
GARLIN,17
HARBOR,17
HART,17
HUGGINS,17
IRVING,17
JAIME,17
JORDAN,17
JULIO,17
MENIFEE,17
NKELE,17
OLD,17
PATRICK,17
RATON,17
SEBASTIAN,17
THE,17
VALLEJO,17
VAN,17
VERONICA,17
VICTORVILLE,17
VILLARREAL,17
WOODLAND,17
WRIGHT,17
YVONNE,17
10,16
11TH,16
1900,16
309,16
33064,16
33243,16
92336,16
93386,16
95164,16
95758,16
AGUILERA,16
ALLEN,16
BISHOP,16
CEDAR,16
CHRISTIAN,16
DAMIAN,16
DANNY,16
DICKEY,16
FABIAN,16
FALL,16
FERREIRA,16
GAPOL,16
GINARD,16
HARVEY,16
HERNANDEZ,16
JESSICA,16
KATY,16
LADY,16
LAKEWOOD,16
LESLIE,16
LUIS,16
MENDOZA,16
MIMI,16
MURPHY,16
NEW,16
OMAR,16
PIERCE,16
RANDALL,16
REDDISH,16
RICHEY,16
ROBERTS,16
ROBIN,16
ROCHELLE,16
ROYAL,16
SEAN,16
STATE,16
TAMMIE,16
TRACY,16
WHITTIER,16
101,15
102,15
13TH,15
15,15
1976,15
205,15
317,15
33675,15
343,15
570,15
75043,15
790,15
801,15
90063,15
90201,15
93906,15
94541,15
94591,15
95829,15
95843,15
AMARILLO,15
ATLANTIC,15
BEASLEY,15
BOYNTON,15
CARTER,15
CHARLOTTE,15
CLAIRE,15
CROWLEY,15
DENTON,15
DESERT,15
DESPERRIER,15
DOGWOOD,15
DOZIER,15
FORDHAM,15
GLENDALE,15
GONZALES,15
HARLINGEN,15
HESPERIA,15
JUNE,15
KING,15
KRIEGER,15
LANTRIP,15
LAUREL,15
LINCOLN,15
LIVINGSTON,15
LOOKOUT,15
LOOP,15
LUBBOCK,15
MAGNOLIA,15
MARINA,15
MELANCON,15
MONTGOMERY,15
MONTROSE,15
OXNARD,15
POMONA,15
QUAIL,15
RANCH,15
RO,15
ROGER,15
STE,15
SUNRISE,15
TEMECULA,15
TERRIE,15
VILLAGE,15
WASHINGTON,15
WYNN,15
100,14
118,14
18TH,14
1924,14
27096,14
293357,14
32244,14
33179,14
3RD,14
406,14
407,14
640083,14
720506,14
75126,14
78269,14
79926,14
92596,14
95206,14
9TH,14
AMY,14
ANTELOPE,14
ARTHUR,14
BEN,14
BETHANY,14
BOUL,14
BOULEVARD,14
BX,14
CASTELINO,14
CHRISTINA,14
COLE,14
CUNNINGHAM,14
DANE,14
DELAFUENTE,14
DICK,14
ERNESTO,14
FELICIA,14
FERNANDO,14
GARDEN,14
GUY,14
HAYWARD,14
HOLLOW,14
JOSHUA,14
KIM,14
LAWRENCE,14
MABANK,14
MARSHA,14
MESQUITE,14
MIGNONNE,14
MOUNTAIN,14
NORTHWEST,14
PATRICIA,14
PHILLIP,14
PINE,14
Q,14
RIALTO,14
RIVER,14
ROCKLIN,14
ROGERS,14
ROUND,14
SAUL,14
SIERRA,14
SOUTHWEST,14
TEJADA,14
VACAVILLE,14
WAYNE,14
WENDY,14
WHITING,14
WHITTLE,14
11,13
18,13
1932,13
1957,13
2600,13
32872,13
34292,13
690362,13
75381,13
7644,13
78250,13
810892,13
90011,13
90815,13
91020,13
91344,13
91355,13
9225,13
92344,13
93727,13
ACRES,13
ARIAS,13
ASHLEY,13
BOWDEN,13
BRENTWOOD,13
CHARLEEN,13
CLAUDIA,13
CONNIE,13
COOK,13
CRANE,13
DANIEL,13
DESOTO,13
DONNA,13
ESTRADAGOMEZ,13
FOREST,13
FRANCINE,13
GOLDSTON,13
GRANADA,13
GRIESER,13
GUTIERREZ,13
HASHMI,13
HEFFLEY,13
HUMBLE,13
JACOBSON,13
JEFFREY,13
JERDAN,13
JERRY,13
LARRY,13
LORI,13
LUTZ,13
MATASCI,13
MCKELVEY,13
MERRIMAN,13
MIGENES,13
MIRANDA,13
MODESTO,13
MONTE,13
NICOLAS,13
OLAJIDE,13
OSPINA,13
